Begin Time (s),End Time (s),Common Name,Confidence,3997 Begin File
21,24,Pileated Woodpecker,0.1492,   1 PAM10_20230329_194000.wav
3,6,Pileated Woodpecker,0.1565,   1 PAM10_20230329_194000.wav
36,39,Eastern Phoebe,0.1785,   1 PAM10_20230329_194000.wav
48,51,Barred Forest-Falcon,0.2136,   1 PAM10_20230329_194000.wav
57,60,California Quail,0.1649,   1 PAM10_20230329_194000.wav
9,12,Pileated Woodpecker,0.2779,   1 PAM10_20230329_194000.wav
15,18,Eastern Phoebe,0.109,   1 PAM10_20230329_195000.wav
21,24,Chimney Swift,0.2997,   1 PAM10_20230329_195000.wav
24,27,Eastern Phoebe,0.1227,   1 PAM10_20230329_195000.wav
27,30,Swamp Sparrow,0.1706,   1 PAM10_20230329_195000.wav
30,33,Eastern Phoebe,0.6227,   1 PAM10_20230329_195000.wav
33,36,Eastern Phoebe,0.8205,   1 PAM10_20230329_195000.wav
36,39,Eastern Phoebe,0.931,   1 PAM10_20230329_195000.wav
39,42,Eastern Phoebe,0.708,   1 PAM10_20230329_195000.wav
42,45,Eastern Phoebe,0.549,   1 PAM10_20230329_195000.wav
45,48,Eastern Phoebe,0.7144,   1 PAM10_20230329_195000.wav
48,51,Black Phoebe,0.2927,   1 PAM10_20230329_195000.wav
48,51,Eastern Phoebe,0.4802,   1 PAM10_20230329_195000.wav
51,54,Eastern Phoebe,0.8827,   1 PAM10_20230329_195000.wav
54,57,Black Phoebe,0.1382,   1 PAM10_20230329_195000.wav
54,57,Eastern Phoebe,0.1247,   1 PAM10_20230329_195000.wav
57,60,Eastern Phoebe,0.7821,   1 PAM10_20230329_195000.wav
30,33,White-crowned Sparrow,0.1266,   1 PAM10_20230329_200000.wav
54,57,Spring Peeper,0.1183,   1 PAM10_20230329_200000.wav
9,12,Spring Peeper,0.1894,   1 PAM10_20230329_200000.wav
18,21,Engine,0.174,   1 PAM10_20230329_201000.wav
42,45,Engine,0.1616,   1 PAM10_20230329_201000.wav
6,9,Spring Peeper,0.1761,   1 PAM10_20230329_201000.wav
21,24,American Woodcock,0.2238,   1 PAM10_20230329_202000.wav
33,36,American Woodcock,0.1714,   1 PAM10_20230329_202000.wav
36,39,American Woodcock,0.1559,   1 PAM10_20230329_202000.wav
48,51,American Woodcock,0.1421,   1 PAM10_20230329_202000.wav
57,60,Mistle Thrush,0.5791,   1 PAM10_20230329_202000.wav
15,18,Spring Peeper,0.1251,   1 PAM10_20230329_203000.wav
24,27,White-crowned Sparrow,0.606,   1 PAM10_20230329_203000.wav
27,30,White-crowned Sparrow,0.154,   1 PAM10_20230329_203000.wav
33,36,Spring Peeper,0.1709,   1 PAM10_20230329_203000.wav
33,36,White-crowned Sparrow,0.3028,   1 PAM10_20230329_203000.wav
36,39,White-crowned Sparrow,0.5933,   1 PAM10_20230329_203000.wav
42,45,White-crowned Sparrow,0.174,   1 PAM10_20230329_203000.wav
45,48,White-crowned Sparrow,0.156,   1 PAM10_20230329_203000.wav
48,51,Eurasian Woodcock,0.1196,   1 PAM10_20230329_203000.wav
51,54,White-crowned Sparrow,0.1924,   1 PAM10_20230329_203000.wav
6,9,White-crowned Sparrow,0.4867,   1 PAM10_20230329_203000.wav
18,21,White-crowned Sparrow,0.3909,   1 PAM10_20230329_204000.wav
24,27,White-crowned Sparrow,0.1093,   1 PAM10_20230329_204000.wav
27,30,Common Grasshopper-Warbler,0.1763,   1 PAM10_20230329_204000.wav
30,33,White-crowned Sparrow,0.1654,   1 PAM10_20230329_204000.wav
36,39,Spring Peeper,0.1337,   1 PAM10_20230329_204000.wav
39,42,Common Grasshopper-Warbler,0.6071,   1 PAM10_20230329_204000.wav
39,42,White-crowned Sparrow,0.1229,   1 PAM10_20230329_204000.wav
48,51,White-crowned Sparrow,0.1523,   1 PAM10_20230329_204000.wav
54,57,Common Grasshopper-Warbler,0.1472,   1 PAM10_20230329_204000.wav
12,15,Engine,0.2611,   1 PAM10_20230329_205000.wav
18,21,Common Grasshopper-Warbler,0.1284,   1 PAM10_20230329_205000.wav
45,48,Common Grasshopper-Warbler,0.1382,   1 PAM10_20230329_205000.wav
48,51,White-crowned Sparrow,0.131,   1 PAM10_20230329_205000.wav
57,60,Common Grasshopper-Warbler,0.1765,   1 PAM10_20230329_205000.wav
12,15,Common Grasshopper-Warbler,0.1224,   1 PAM10_20230329_210000.wav
21,24,White-crowned Sparrow,0.2226,   1 PAM10_20230329_210000.wav
30,33,White-crowned Sparrow,0.1032,   1 PAM10_20230329_210000.wav
